Time (days), Displacement_Real (cm), Displacement_Imag (cm)
170.000000,2.404522,6.440764
171.000000,2.534157,6.405344
172.000000,2.640631,6.364485
173.000000,2.817865,6.374925
174.000000,3.106346,6.412619
175.000000,3.396820,6.370341
176.000000,3.669236,6.189848
177.000000,4.085141,5.918622
178.000000,4.460665,5.693974
179.000000,4.766542,5.468034
180.000000,4.998526,5.320759
181.000000,5.153064,5.158902
182.000000,5.299044,4.912926
183.000000,5.366342,4.697609
184.000000,5.287363,4.585650
185.000000,5.119195,4.504323
186.000000,4.999860,4.416738
187.000000,4.974016,4.305808
188.000000,5.041144,4.300878
189.000000,5.275959,4.365231
190.000000,5.406844,4.391124
191.000000,5.627974,4.313217
192.000000,5.834208,4.173966
193.000000,5.985609,4.073055
194.000000,6.090511,3.899514
195.000000,6.252388,3.713364
196.000000,6.447762,3.535714
197.000000,6.488604,3.325312
198.000000,6.602682,3.087931
199.000000,6.768015,2.856107
200.000000,6.899826,2.604886
201.000000,6.945240,2.276547
202.000000,6.928411,2.034893
203.000000,6.820147,1.747026
204.000000,6.718406,1.564454
205.000000,6.597095,1.373411
206.000000,6.463850,1.177374
207.000000,6.359946,1.097504
208.000000,6.243552,1.044884
209.000000,6.010496,0.966995
210.000000,5.754558,0.834278
211.000000,5.483586,0.675263
212.000000,5.109260,0.561479
213.000000,4.837216,0.522282
214.000000,4.427990,0.490429
215.000000,4.089478,0.424507
216.000000,3.760991,0.390105
217.000000,3.436348,0.409495
218.000000,3.191345,0.395304
219.000000,2.946812,0.491078
220.000000,2.708476,0.550322
221.000000,2.427223,0.671536
222.000000,2.257463,0.854097
223.000000,2.178491,1.023546
224.000000,2.158699,1.170498
225.000000,2.180774,1.369097
226.000000,2.255423,1.413046
227.000000,2.375221,1.455353
228.000000,2.513280,1.498837
229.000000,2.685739,1.565698
230.000000,2.788417,1.559599
231.000000,2.883532,1.447945
232.000000,3.011020,1.148341
233.000000,3.071773,0.918275
234.000000,3.126801,0.791237
235.000000,3.162481,0.642847
236.000000,3.288199,0.687655
237.000000,3.437516,0.679957
238.000000,3.654997,0.574299
239.000000,3.898647,0.467731
240.000000,4.195069,0.379266
241.000000,4.456171,0.350576
242.000000,4.701092,0.333727
243.000000,4.875429,0.261007
244.000000,5.062345,0.080579
245.000000,5.462856,-0.126836
246.000000,5.832598,-0.417153
247.000000,6.163723,-0.625383
248.000000,6.527933,-0.821596
249.000000,6.739800,-1.138602
250.000000,7.016419,-1.397924
251.000000,7.202924,-1.701993
252.000000,7.414393,-1.875491
253.000000,7.626555,-2.028550
254.000000,7.813484,-2.149790
255.000000,7.928638,-2.318755
256.000000,8.064243,-2.432275
257.000000,8.271582,-2.530109
258.000000,8.510568,-2.602362
259.000000,8.831887,-2.691844
260.000000,9.018118,-2.724388
261.000000,9.188077,-2.937420
262.000000,9.240229,-3.117709
263.000000,9.296046,-3.201948
264.000000,9.387316,-3.292522
265.000000,9.412124,-3.330964
266.000000,9.531121,-3.410567
267.000000,9.603054,-3.469593
268.000000,9.715064,-3.566955
269.000000,9.790246,-3.568872
270.000000,9.801199,-3.535237
271.000000,9.755628,-3.401245
272.000000,9.605182,-3.283147
273.000000,9.583512,-3.180751
274.000000,9.379714,-3.064519
275.000000,9.098217,-2.850337
276.000000,8.694141,-2.836428
277.000000,8.227442,-2.950027
278.000000,7.595031,-2.957475
279.000000,7.068124,-2.821700
280.000000,6.594403,-2.714257
281.000000,6.088172,-2.515145
282.000000,5.532198,-2.171644
283.000000,4.929936,-1.846554
284.000000,4.364029,-1.586686
285.000000,3.699785,-1.387462
286.000000,3.129364,-1.226475
287.000000,2.606464,-1.020696
288.000000,2.107566,-0.847343
289.000000,1.705233,-0.537151
290.000000,1.367209,-0.282043
291.000000,1.035410,-0.105090
292.000000,0.737503,0.096006
293.000000,0.457909,0.295676
294.000000,0.157804,0.511156
295.000000,-0.030091,0.548537
296.000000,-0.109626,0.571071
297.000000,-0.176144,0.453462
298.000000,-0.313609,0.360995
299.000000,-0.526275,0.334903
300.000000,-0.699811,0.400074
301.000000,-0.876750,0.515714
302.000000,-1.098055,0.656784
303.000000,-1.288364,0.842791
304.000000,-1.549724,1.006833
305.000000,-1.760591,1.152366
306.000000,-2.071219,1.360853
307.000000,-2.536966,1.631334
308.000000,-2.974056,1.840638
309.000000,-3.443455,1.894753
310.000000,-3.752947,1.770964
311.000000,-3.929674,1.536833
312.000000,-4.135654,1.249714
313.000000,-4.394793,1.023569
314.000000,-4.645558,0.760552
315.000000,-4.896249,0.516142
316.000000,-5.018819,0.322792
317.000000,-5.155940,0.043510
318.000000,-5.189280,-0.273188
319.000000,-5.126327,-0.616149
320.000000,-4.879721,-0.986820
321.000000,-4.685142,-1.355276
322.000000,-4.544849,-1.629422
323.000000,-4.291786,-1.915674
324.000000,-4.118377,-2.122429
325.000000,-4.098113,-2.283895
326.000000,-4.073249,-2.415555
327.000000,-4.013100,-2.461301
328.000000,-3.985994,-2.341617
329.000000,-3.987862,-2.122885
330.000000,-4.092131,-2.044189
331.000000,-4.056812,-1.933099
332.000000,-4.009697,-1.926422
333.000000,-4.008288,-2.071722
334.000000,-3.976771,-2.294317
335.000000,-3.885453,-2.659949
336.000000,-3.881724,-3.075930
337.000000,-3.861395,-3.350396
338.000000,-3.879307,-3.634606
339.000000,-3.771274,-3.690007
340.000000,-3.661561,-3.710722
341.000000,-3.646936,-3.653901
342.000000,-3.642063,-3.613475
343.000000,-3.603855,-3.597938
344.000000,-3.411186,-3.642839
345.000000,-3.233873,-3.671364
346.000000,-3.030415,-3.808786
347.000000,-2.755947,-3.997109
348.000000,-2.469307,-4.247986
349.000000,-2.275405,-4.462318
350.000000,-2.112078,-4.542162
351.000000,-2.013804,-4.452023
352.000000,-1.871689,-4.502603
353.000000,-1.627167,-4.522272
354.000000,-1.407567,-4.589300
355.000000,-1.129479,-4.731345
356.000000,-0.930294,-4.852092
357.000000,-0.738076,-4.996863
358.000000,-0.577431,-5.124010
359.000000,-0.309373,-5.181216
360.000000,-0.044700,-5.303387
361.000000,0.252567,-5.425425
362.000000,0.495867,-5.663825
363.000000,0.668341,-5.908383
364.000000,0.854109,-6.055244
365.000000,0.960600,-6.319518
366.000000,0.954467,-6.529225
367.000000,0.926180,-6.820733
368.000000,1.020945,-7.068018
369.000000,1.077164,-7.325661
370.000000,1.144654,-7.579750
371.000000,1.161035,-7.930374
372.000000,1.021537,-8.316202
373.000000,0.895345,-8.679841
374.000000,0.908635,-9.003481
375.000000,0.895707,-9.310721
376.000000,0.797445,-9.636985
377.000000,0.633972,-9.832209
378.000000,0.513466,-10.023490
379.000000,0.372792,-10.254966
380.000000,0.319536,-10.521513
381.000000,0.250593,-10.768385
382.000000,0.031245,-10.921842
383.000000,-0.200304,-11.092652
384.000000,-0.356237,-11.181609
385.000000,-0.420074,-11.245051
386.000000,-0.381127,-11.344854
387.000000,-0.270568,-11.496668
388.000000,-0.089743,-11.620686
389.000000,0.216427,-11.740680
390.000000,0.608949,-11.917367
391.000000,0.977333,-12.137026
392.000000,1.274825,-12.295205
393.000000,1.522953,-12.399069
394.000000,1.800351,-12.516486
395.000000,2.142283,-12.560551
396.000000,2.433044,-12.626761
397.000000,2.809985,-12.695364
398.000000,3.096492,-12.664501
399.000000,3.320712,-12.677211
400.000000,3.494472,-12.842473
401.000000,3.601875,-13.089014
402.000000,3.764529,-13.290203
403.000000,3.897624,-13.488488
404.000000,4.157408,-13.460827
405.000000,4.392008,-13.542302
406.000000,4.744747,-13.634378
407.000000,4.881029,-13.714663
408.000000,5.031574,-13.890708
409.000000,5.189129,-13.968776
410.000000,5.477341,-13.983423
411.000000,5.757824,-13.880555
412.000000,6.145522,-13.735730
413.000000,6.638781,-13.871887
414.000000,7.038412,-14.067872
415.000000,7.310400,-14.221739
416.000000,7.621096,-14.422309
417.000000,7.840880,-14.582465
418.000000,8.027920,-14.732365
419.000000,8.154168,-14.909207
420.000000,8.275990,-15.064098
421.000000,8.431108,-15.165641
422.000000,8.625067,-15.171487
423.000000,8.810778,-15.244059
424.000000,8.907548,-15.352758
425.000000,8.931366,-15.505351
426.000000,8.974918,-15.579608
427.000000,8.849926,-15.528436
428.000000,8.648435,-15.402675
429.000000,8.348272,-15.187953
430.000000,8.051991,-14.974902
431.000000,7.820425,-14.842466
432.000000,7.788875,-14.671472
433.000000,7.760018,-14.386816
434.000000,7.653551,-14.091160
435.000000,7.523081,-13.753704
436.000000,7.439514,-13.564531
437.000000,7.440807,-13.350380
438.000000,7.407426,-13.168193
439.000000,7.376875,-12.961698
440.000000,7.438483,-12.678757
441.000000,7.511068,-12.470866
442.000000,7.582797,-12.169417
443.000000,7.622782,-11.967657
444.000000,7.630013,-11.782025
445.000000,7.716186,-11.590955
446.000000,7.754143,-11.337774
447.000000,7.784931,-11.133008
448.000000,7.734979,-11.018165
449.000000,7.735222,-10.807632
450.000000,7.754195,-10.589839
451.000000,7.804595,-10.536803
452.000000,7.848172,-10.464735
453.000000,7.831749,-10.527519
454.000000,7.810468,-10.524800
455.000000,7.694564,-10.417937
456.000000,7.564207,-10.334999
457.000000,7.619903,-10.328323
458.000000,7.796163,-10.229939
459.000000,8.020962,-10.179355
460.000000,8.257340,-10.195186
461.000000,8.533433,-10.304477
462.000000,8.812567,-10.513828
463.000000,9.135266,-10.682500
464.000000,9.518006,-10.860090
465.000000,9.787460,-10.961435
466.000000,10.016897,-11.057403
467.000000,10.222457,-11.160020
468.000000,10.366675,-11.382437
469.000000,10.422343,-11.642052
470.000000,10.568457,-11.869102
471.000000,10.750930,-12.106768
472.000000,10.847489,-12.225853
473.000000,10.855631,-12.471446
474.000000,10.895151,-12.707306
475.000000,10.879065,-12.912097
476.000000,10.774321,-13.151767
477.000000,10.660920,-13.360200
478.000000,10.494733,-13.423764
479.000000,10.408306,-13.560336
480.000000,10.503706,-13.710320
481.000000,10.462006,-13.952836
482.000000,10.487309,-14.117487
483.000000,10.541998,-14.357242
484.000000,10.528068,-14.638772
485.000000,10.587842,-14.786413
486.000000,10.575065,-14.858031
487.000000,10.421839,-14.979731
488.000000,10.198649,-15.013341
489.000000,10.040213,-15.093358
490.000000,9.927736,-15.157781
491.000000,9.901426,-15.078011
492.000000,9.914557,-14.835950
493.000000,10.021299,-14.650276
494.000000,9.966992,-14.484531
495.000000,9.894935,-14.256353
496.000000,9.802399,-14.004165
497.000000,9.714312,-13.793513
498.000000,9.714928,-13.618674
499.000000,9.664575,-13.519481
500.000000,9.638015,-13.600727
501.000000,9.470178,-13.686031
502.000000,9.249419,-13.853374
503.000000,9.120427,-14.021947
504.000000,8.872491,-13.988705
505.000000,8.754635,-13.956076
506.000000,8.611560,-13.812938
507.000000,8.521822,-13.767019
508.000000,8.352092,-13.629465
509.000000,8.255324,-13.630964
510.000000,8.167658,-13.653389
511.000000,8.182721,-13.651796
512.000000,8.155200,-13.603683
513.000000,8.074952,-13.569502
514.000000,7.945436,-13.620026
515.000000,7.976869,-13.757388
516.000000,7.980495,-13.936032
517.000000,7.862676,-14.174382
518.000000,7.827461,-14.433634
519.000000,7.797476,-14.739755
520.000000,7.743559,-14.923263
521.000000,7.733672,-15.068993
522.000000,7.791520,-15.179520
523.000000,7.795907,-15.342674
524.000000,7.808223,-15.469468
525.000000,7.795986,-15.559884
526.000000,7.741403,-15.712148
527.000000,7.727804,-15.939423
528.000000,7.769793,-16.290701
529.000000,7.704663,-16.542861
530.000000,7.729284,-16.847203
531.000000,7.762765,-17.119065
532.000000,7.775294,-17.358801
533.000000,7.667076,-17.568858
534.000000,7.549797,-17.806959
535.000000,7.438443,-18.039438
536.000000,7.345499,-18.272893
537.000000,7.228546,-18.382558
538.000000,7.192425,-18.568806
539.000000,7.277757,-18.752827
540.000000,7.448569,-18.839076
541.000000,7.585774,-18.885425
542.000000,7.735181,-19.009266
543.000000,7.900982,-19.061627
544.000000,8.004206,-19.312356
545.000000,8.096742,-19.576299
546.000000,8.136087,-19.697130
547.000000,8.176863,-19.768946
548.000000,8.334937,-19.774348
549.000000,8.463891,-19.786232
550.000000,8.525573,-19.825602
551.000000,8.685057,-19.808848
552.000000,8.895074,-19.619297
553.000000,9.045562,-19.467985
554.000000,9.126260,-19.222916
555.000000,9.305468,-19.041759
556.000000,9.469983,-18.910210
557.000000,9.632785,-18.742203
558.000000,9.806384,-18.658076
559.000000,9.916116,-18.511035
560.000000,10.097360,-18.504676
561.000000,10.438463,-18.681118
562.000000,10.559861,-18.852730
563.000000,10.684607,-18.983258
564.000000,10.868634,-19.005372
565.000000,10.975250,-19.016376
566.000000,11.078474,-18.954498
567.000000,11.184715,-18.880403
568.000000,11.235706,-18.762218
569.000000,11.335023,-18.728193
570.000000,11.516324,-18.703156
571.000000,11.697173,-18.725494
572.000000,11.888633,-18.763543
573.000000,12.020742,-18.625116
574.000000,12.224462,-18.605545
575.000000,12.402000,-18.585264
576.000000,12.595809,-18.591065
577.000000,12.859592,-18.567760
578.000000,13.075902,-18.411749
579.000000,13.257011,-18.201920
580.000000,13.427702,-18.061500
581.000000,13.565341,-18.042355
582.000000,13.594378,-17.961207
583.000000,13.656959,-17.962453
584.000000,13.605090,-18.017414
585.000000,13.535242,-18.032120
586.000000,13.366040,-18.160013
587.000000,13.310891,-18.158605
588.000000,13.267418,-18.149593
589.000000,13.264129,-18.159057
590.000000,13.241372,-18.106820
591.000000,13.340211,-17.998875
592.000000,13.399240,-17.919957
593.000000,13.539333,-17.765582
594.000000,13.752884,-17.598253
595.000000,13.906553,-17.364057
596.000000,14.077915,-17.132317
597.000000,14.242498,-16.937013
598.000000,14.550601,-16.628676
599.000000,14.754555,-16.408629
600.000000,14.819841,-16.161874
601.000000,14.902311,-15.786388
602.000000,14.903955,-15.477744
603.000000,14.861102,-15.150706
604.000000,14.847271,-14.830739
605.000000,14.737060,-14.567432
606.000000,14.717998,-14.329449
607.000000,14.732466,-14.067616
608.000000,14.852614,-13.655449
609.000000,14.937856,-13.215789
610.000000,15.083706,-12.836339
611.000000,15.131462,-12.641503
612.000000,15.192799,-12.446463
613.000000,15.332853,-12.250342
614.000000,15.410792,-12.132454
615.000000,15.487890,-11.949818
616.000000,15.680684,-11.755143
617.000000,15.796086,-11.534822
618.000000,15.816933,-11.372060
619.000000,15.906064,-11.276255
620.000000,15.984946,-11.224749
621.000000,15.973479,-11.261730
622.000000,15.895839,-11.334521
623.000000,15.851650,-11.345679
624.000000,15.830096,-11.525522
625.000000,15.784133,-11.821617
626.000000,15.759783,-12.087533
627.000000,15.780232,-12.303420
628.000000,15.743719,-12.570175
629.000000,15.686615,-12.771171
630.000000,15.580329,-12.858280
631.000000,15.585003,-12.885639
632.000000,15.492992,-13.028061
633.000000,15.531221,-13.211915
634.000000,15.522929,-13.442535
635.000000,15.515274,-13.676703
636.000000,15.580415,-13.939112
637.000000,15.694885,-14.239892
638.000000,15.772768,-14.368301
639.000000,15.910116,-14.509551
640.000000,15.945604,-14.648832
641.000000,16.081690,-14.753306
642.000000,16.292165,-14.978211
643.000000,16.484004,-15.267638
644.000000,16.687986,-15.494158
645.000000,16.946278,-15.672675
646.000000,17.155323,-15.921587
647.000000,17.385525,-16.062090
648.000000,17.645541,-16.194246
649.000000,17.908808,-16.303161
650.000000,18.040107,-16.393487
651.000000,18.133648,-16.516609
652.000000,18.069547,-16.765845
653.000000,17.982719,-17.001213
654.000000,17.844707,-17.331969
655.000000,17.712599,-17.643643
656.000000,17.621468,-17.910051
657.000000,17.601480,-18.136208
658.000000,17.572619,-18.445179
659.000000,17.549525,-18.697156
660.000000,17.604893,-19.016259
661.000000,17.752587,-19.286053
662.000000,17.902604,-19.484774
663.000000,18.103166,-19.544281
664.000000,18.229707,-19.752478
665.000000,18.463546,-19.878448
666.000000,18.625249,-20.004635
667.000000,18.713797,-20.124482
668.000000,18.834419,-20.275252
669.000000,18.938646,-20.394052
670.000000,18.913548,-20.521011
671.000000,18.971934,-20.682459
672.000000,19.077087,-20.869080
673.000000,19.296240,-20.991559
674.000000,19.516729,-21.065380
675.000000,19.769296,-21.049339
676.000000,19.911165,-21.007508
677.000000,20.179484,-20.980638
678.000000,20.600754,-21.042004
679.000000,20.953236,-21.073838
680.000000,21.219882,-21.125718
681.000000,21.536426,-21.155988
682.000000,21.737402,-21.117553
683.000000,21.930813,-21.119870
684.000000,22.095671,-21.158263
685.000000,22.307057,-21.212510
686.000000,22.350144,-21.245595
687.000000,22.398421,-21.122222
688.000000,22.461816,-21.076288
689.000000,22.385879,-20.933877
690.000000,22.305214,-20.821232
691.000000,22.279579,-20.651728
692.000000,22.160364,-20.493860
693.000000,22.029911,-20.391223
694.000000,21.926689,-20.317861
695.000000,21.793957,-20.179311
696.000000,21.792261,-19.958603
697.000000,21.848637,-19.686568
698.000000,21.856088,-19.482852
699.000000,21.887789,-19.395523
700.000000,22.001433,-19.286334
701.000000,22.122944,-19.147798
702.000000,22.274808,-19.211550
703.000000,22.460625,-19.267411
704.000000,22.684391,-19.160237
705.000000,22.787308,-19.077444
706.000000,22.829492,-19.051014
707.000000,22.841103,-19.102947
708.000000,22.731379,-19.286239
709.000000,22.526586,-19.488925
710.000000,22.368199,-19.649637
711.000000,22.251898,-19.869107
712.000000,22.216254,-20.048615
713.000000,22.211517,-20.151735
714.000000,22.149521,-20.289696
715.000000,22.092240,-20.377483
716.000000,21.986483,-20.414355
717.000000,21.956056,-20.450940
718.000000,21.814805,-20.336794
719.000000,21.751680,-20.329260
720.000000,21.732052,-20.301742
721.000000,21.772477,-20.346592
722.000000,21.765506,-20.441497
723.000000,21.774036,-20.494181
724.000000,21.778665,-20.459596
725.000000,21.669142,-20.415500
726.000000,21.606528,-20.277392
727.000000,21.583183,-20.222431
728.000000,21.506131,-20.147250
729.000000,21.529742,-20.119181
730.000000,21.418255,-20.150784
731.000000,21.286444,-20.377442
732.000000,21.137762,-20.525315
733.000000,20.949511,-20.518009
734.000000,20.729204,-20.473792
735.000000,20.566218,-20.330196
736.000000,20.352976,-20.195826
737.000000,20.165212,-20.166849
738.000000,19.963319,-20.206295
739.000000,19.770978,-20.302399
740.000000,19.742377,-20.306388
741.000000,19.675715,-20.346152
742.000000,19.682045,-20.375250
743.000000,19.690622,-20.501916
744.000000,19.700753,-20.630307
745.000000,19.566721,-20.868849
746.000000,19.522272,-21.137557
747.000000,19.493682,-21.323533
748.000000,19.435148,-21.363135
749.000000,19.385001,-21.362432
750.000000,19.331421,-21.354478
751.000000,19.420826,-21.266503
752.000000,19.418417,-21.132106
753.000000,19.373974,-21.194810
754.000000,19.353540,-21.386388
755.000000,19.474603,-21.622456
756.000000,19.603513,-21.901811
757.000000,19.803784,-22.275021
758.000000,20.041642,-22.663764
759.000000,20.310975,-23.085597
760.000000,20.651583,-23.384480
761.000000,21.132226,-23.700830
762.000000,21.578236,-24.083113
763.000000,21.959976,-24.460347
764.000000,22.319478,-24.853236
765.000000,22.621950,-25.189005
766.000000,22.721678,-25.510229
767.000000,22.803188,-25.912690
768.000000,22.889574,-26.233175
769.000000,22.940170,-26.550554
770.000000,22.969629,-26.882891
771.000000,23.089328,-27.247712
772.000000,23.203847,-27.518064
773.000000,23.305218,-27.770887
774.000000,23.347167,-28.116522
775.000000,23.343183,-28.265882
776.000000,23.331984,-28.426747
777.000000,23.331479,-28.551902
778.000000,23.360271,-28.638442
779.000000,23.509397,-28.815080
780.000000,23.746432,-28.883001
781.000000,23.870805,-28.925559
782.000000,24.115550,-28.953255
783.000000,24.262832,-28.876660
784.000000,24.589618,-28.795381
785.000000,24.900305,-28.851462
786.000000,25.148406,-28.903415
787.000000,25.220766,-28.862591
788.000000,25.256286,-28.734385
789.000000,25.404494,-28.598459
790.000000,25.507540,-28.602925
791.000000,25.566849,-28.524444
792.000000,25.521691,-28.457750
793.000000,25.392477,-28.382960
794.000000,25.232005,-28.218854
795.000000,25.113901,-28.040051
796.000000,24.851821,-28.158413
797.000000,24.664909,-28.390730
798.000000,24.459573,-28.663258
799.000000,24.334314,-29.007040
800.000000,24.220649,-29.306556
801.000000,24.084481,-29.566132
802.000000,23.999111,-29.853173
803.000000,23.959885,-30.024881
804.000000,24.076811,-30.239562
805.000000,24.084676,-30.459824
806.000000,24.038955,-30.709356
807.000000,23.905503,-31.002612
808.000000,23.741841,-31.263851
809.000000,23.555716,-31.605159
810.000000,23.354079,-31.937485
811.000000,23.136337,-32.175692
812.000000,22.900903,-32.329982
813.000000,22.670025,-32.616059
814.000000,22.493349,-32.844301
815.000000,22.417308,-33.085292
816.000000,22.321036,-33.269441
817.000000,22.371464,-33.423112
818.000000,22.482781,-33.585948
819.000000,22.675301,-33.734291
820.000000,22.775727,-33.822764
821.000000,22.729000,-33.848174
822.000000,22.711326,-33.927590
823.000000,22.721250,-34.099351
824.000000,22.602261,-34.286307
825.000000,22.382763,-34.378702
826.000000,22.210650,-34.436503
827.000000,22.132923,-34.459149
828.000000,22.164677,-34.512948
829.000000,22.124297,-34.619253
830.000000,22.133266,-34.559116
831.000000,22.187612,-34.512618
832.000000,22.234372,-34.473046
833.000000,22.197515,-34.457840
834.000000,22.081037,-34.438834
835.000000,22.031378,-34.445684
836.000000,21.859846,-34.530474
837.000000,21.682440,-34.570094
838.000000,21.532488,-34.497580
839.000000,21.479068,-34.418052
840.000000,21.403700,-34.402101
841.000000,21.230701,-34.383420
842.000000,21.100359,-34.289725
843.000000,20.928257,-34.070739
844.000000,20.906312,-33.978357
845.000000,20.821131,-33.886186
846.000000,20.756926,-33.835396
847.000000,20.852552,-33.748451
848.000000,21.018414,-33.657067
849.000000,21.167219,-33.618681
850.000000,21.337928,-33.719964
851.000000,21.673231,-33.902993
852.000000,22.082044,-34.114244
853.000000,22.351973,-34.325992
854.000000,22.610117,-34.429099
855.000000,22.923840,-34.567143
856.000000,23.092190,-34.664050
857.000000,23.266246,-34.683559
858.000000,23.418608,-34.683776
859.000000,23.578175,-34.677590
860.000000,23.661964,-34.717944
861.000000,23.600273,-34.691138
862.000000,23.463737,-34.544306
863.000000,23.481307,-34.375657
864.000000,23.487440,-34.199926
865.000000,23.421373,-34.023204
866.000000,23.472070,-33.785473
867.000000,23.587110,-33.595270
868.000000,23.626279,-33.461717
869.000000,23.742627,-33.300843
870.000000,23.931475,-33.178346
871.000000,24.044116,-33.000383
872.000000,24.186671,-32.949532
873.000000,24.287757,-32.803693
874.000000,24.473364,-32.726721
875.000000,24.546320,-32.639120
876.000000,24.581585,-32.595070
877.000000,24.675270,-32.501506
878.000000,24.754054,-32.523531
879.000000,24.868723,-32.623790
880.000000,25.103253,-32.591648
